Date,Sno,Cummlative cases,Death ,Recoverd ,Active cases 
2/3/20,1,1,0,0,1
3/3/20,2,1,0,0,1
4/3/20,3,2,0,0,2
5/3/20,4,5,0,0,5
6/3/20,5,5,0,0,5
7/3/20,6,7,0,0,7
8/3/20,7,11,0,0,11
9/3/20,8,15,0,0,15
10/3/20,9,20,0,0,20
11/3/20,10,21,0,0,21
12/3/20,11,45,0,1,44
13/03/2020,12,86,0,1,85
14/03/2020,13,103,0,2,101
15/03/2020,14,118,0,3,115
16/03/2020,15,133,0,6,127
17/03/2020,16,171,0,6,165
18/03/2020,17,238,0,8,230
19/03/2020,18,274,0,8,266
20/03/2020,19,344,0,8,336
21/03/2020,20,392,0,24,368
22/03/2020,21,511,0,24,487
23/03/2020,22,562,0,24,538
24/03/2020,23,767,1,28,738
25/03/2020,24,900,2,29,869
26/03/2020,25,1012,3,33,976
27/03/2020,26,1104,3,35,1066
28/03/2020,27,1203,4,37,1162
29/03/2020,28,1299,8,66,1225
30/03/2020,29,1453,8,115,1330
31/03/2020,30,1563,10,165,1388
1/4/20,31,1720,16,264,1440
2/4/20,32,1885,21,328,1536
3/4/20,33,2039,25,351,1663
4/4/20,34,2221,29,420,1772
5/4/20,35,2402,34,488,1880
6/4/20,36,2605,38,551,2016
7/4/20,37,2932,41,631,2260
8/4/20,38,3287,44,666,2577
9/4/20,39,3651,47,685,2919
10/4/20,40,4033,52,720,3261
11/4/20,41,4462,59,761,3642
12/4/20,42,4934,65,805,4064
13/04/2020,43,5369,73,889,4407
14/04/2020,44,5862,79,931,4852
15/04/2020,45,6380,83,990,5307
16/04/2020,46,7142,87,1049,6006
17/04/2020,47,8274,92,1329,6853
18/04/2020,48,9362,97,1398,7867
19/04/2020,49,10484,103,1490,8891
20/04/2020,50,11631,109,1640,9882
21/04/2020,51,12772,114,1812,10846
22/04/2020,52,13930,121,1925,11884
23/04/2020,53,15102,127,2049,12926
24/04/2020,54,16299,136,2215,13948
25/04/2020,55,17522,139,2357,15026
26/04/2020,56,18811,144,2531,16136
27/04/2020,57,20077,152,2784,17141
28/04/2020,58,21402,157,2953,18292
29/04/2020,59,22753,162,3163,19428
30/04/2020,60,24097,169,3555,20373
1/5/20,61,25459,176,3765,21518
2/5/20,62,27011,184,4134,22693
3/5/20,63,28656,191,4476,23989
4/5/20,64,30251,200,5431,24620
5/5/20,65,31938,209,6783,24946
6/5/20,66,33731,219,7798,25714
7/5/20,67,35432,229,9120,26083
8/5/20,68,37136,239,10144,26753
9/5/20,69,39048,246,11457,27345
10/5/20,70,41014,255,12737,28022
11/5/20,71,42925,264,15257,27404
12/5/20,72,44830,273,17622,26935
13/05/2020,73,46869,283,19051,27535
14/05/2020,74,49176,292,21869,27015
15/05/2020,75,52016,302,23666,28048
16/05/2020,76,54752,312,25722,28718
17/05/2020,77,57345,320,28748,28277
18/05/2020,78,59854,329,31634,27891
19/05/2020,79,62545,339,33478,28728
20/05/2020,80,65077,351,36040,28686
21/05/2020,81,67719,364,39003,28352
22/05/2020,82,70161,379,41236,28546
23/05/2020,83,72560,390,43520,28650
24/05/2020,84,74795,399,45668,28728
25/05/2020,85,76726,411,48450,27865
26/05/2020,86,78541,425,51022,27094
27/05/2020,87,80185,441,54553,25191
28/05/2020,88,81766,458,57013,24295
29/05/2020,89,83384,480,58883,24021
30/05/2020,90,85261,503,62442,22316
31/05/2020,91,87142,525,64306,22311
1/6/20,92,89011,549,65790,22672
2/6/20,93,91182,579,68159,22444
3/6/20,94,93157,611,68965,23581
4/6/20,95,95748,642,70616,24490
5/6/20,96,98869,676,71791,26402
6/6/20,97,101914,712,72817,28385
7/6/20,98,105283,746,74524,30013
8/6/20,99,108571,783,76339,31449
9/6/20,100,112288,819,77954,33515
10/6/20,101,116021,857,80019,35145
11/6/20,102,119942,893,81029,38020
12/6/20,103,123308,932,82548,39828
13/06/2020,104,127541,972,84720,41849
14/06/2020,105,132048,1011,87890,43147
15/06/2020,106,136315,1052,89540,45723
16/06/2020,107,141234,1091,91662,48481
17/06/2020,108,145991,1139,93915,50937
18/06/2020,109,150292,1184,95764,53344
19/06/2020,110,154233,1230,98917,54086
20/06/2020,111,157612,1267,101130,55215
21/06/2020,112,161005,1307,105175,54523
22/06/2020,113,164144,1346,109885,52913
23/06/2020,114,167267,1387,112797,53083
24/06/2020,115,170639,1428,117882,51329
25/06/2020,116,174577,1474,120471,52632
26/06/2020,117,178504,1511,122128,54865
27/06/2020,118,182493,1551,124755,56187
28/06/2020,119,186436,1599,127118,57719
29/06/2020,120,190823,1649,130766,58408
30/06/2020,121,194225,1698,132760,59767
1/7/20,122,197608,1752,137669,58187
2/7/20,123,201801,1802,140614,59385
3/7/20,124,205929,1858,143256,60815
4/7/20,125,209509,1916,145236,62357
5/7/20,126,213716,1968,149634,62114
6/7/20,127,217108,2017,154839,60252
7/7/20,128,220144,2059,158050,60035
8/7/20,129,223327,2100,161096,60131
9/7/20,130,226500,2151,163035,61314
10/7/20,131,229480,2181,165396,61903
11/7/20,132,232259,2223,167138,62898
12/7/20,133,235111,2243,169842,63026
13/07/2020,134,237803,2283,177560,57960
14/07/2020,135,240490,2325,183064,55101
15/07/2020,136,243238,2370,187622,53246
16/07/2020,137,245851,2407,191161,52283
17/07/2020,138,248416,2447,194218,51751
18/07/2020,139,250920,2486,197735,50699
19/07/2020,140,253349,2523,203259,47567
20/07/2020,141,255825,2557,207259,46009
21/07/2020,142,258156,2601,210398,45157
22/07/2020,143,260394,2635,213490,44269
23/07/2020,144,262772,2672,215731,44369
24/07/2020,145,264973,2703,217782,44488
25/07/2020,146,266941,2733,220323,43885
26/07/2020,147,268934,2760,222936,43238
27/07/2020,148,270831,2789,225624,42418
28/07/2020,149,272590,2816,228569,41205
29/07/2020,150,274219,2842,231198,40179
30/07/2020,151,275905,2866,235658,37381
31/07/2020,152,277478,2887,237548,37043
1/8/20,153,278835,2917,240081,35837
2/8/20,154,280093,2949,242053,35091
3/8/20,155,281435,2984,243688,34763
4/8/20,156,282824,3020,245314,34490
5/8/20,157,284226,3055,247089,34082
6/8/20,158,285793,3093,248948,33752
7/8/20,159,287262,3130,250440,33692
8/8/20,160,288690,3167,252039,33484
9/8/20,161,289947,3199,253478,33270
10/8/20,162,291468,3233,255118,33117
11/8/20,163,293037,3269,257269,32499
12/8/20,164,294519,3303,260393,30823
13/08/2020,165,295902,3338,262959,29605
14/08/2020,166,297315,3369,264487,29459
15/08/2020,167,298542,3408,266953,28181
16/08/2020,168,299914,3436,268385,28093
17/08/2020,169,301323,3470,272911,24942
18/08/2020,170,302686,3506,274091,25089
19/08/2020,171,303973,3548,275476,24949
20/08/2020,172,305186,3580,277067,24539
21/08/2020,173,306370,3619,278441,24310
22/08/2020,174,307479,3649,280143,23687
23/08/2020,175,308654,3691,282888,22075
24/08/2020,176,309768,3722,283932,22114
25/08/2020,177,310836,3755,284945,22136
26/08/2020,178,311855,3785,286255,21815
27/08/2020,179,312924,3813,287403,21708
28/08/2020,180,313911,3840,288441,21630
29/08/2020,181,314821,3870,289667,21284
30/08/2020,182,315772,3897,290796,21079
31/08/2020,183,316670,3929,291514,21227
1/9/20,184,317486,3956,292510,21020
2/9/20,185,318319,3982,293964,20373
3/9/20,186,319141,4015,295063,20063
4/9/20,187,319932,4049,295842,20041
5/9/20,188,320688,4081,296737,19870
6/9/20,189,321456,4107,297623,19726
7/9/20,190,322237,4137,298246,19854
8/9/20,191,323012,4165,298966,19881
9/9/20,192,323720,4189,299998,19533
10/9/20,193,324407,4213,300933,19261
11/9/20,194,325050,4240,301836,18974
12/9/20,195,325651,4268,302870,18513
13/09/2020,196,326258,4305,303930,18023
14/09/2020,197,326930,4338,305022,17570
15/09/2020,198,327551,4369,306004,17178
16/09/2020,199,328144,4399,307207,16538
17/09/2020,200,328720,4430,308352,15938
18/09/2020,201,329271,4458,309430,15383
19/09/2020,202,329754,4485,310439,14830
20/09/2020,203,330246,4512,311499,14235
21/09/2020,204,330798,4542,312684,13572
22/09/2020,205,331359,4569,313786,13004
23/09/2020,206,331857,4599,314793,12465
24/09/2020,207,332329,4625,315636,12068
25/09/2020,208,332790,4655,316405,11730
26/09/2020,209,333193,4683,317005,11505
27/09/2020,210,333648,4712,317846,11090
28/09/2020,211,334187,4739,318542,10906
29/09/2020,212,334605,4768,319154,10683
30/09/2020,213,335097,4794,319746,10557
1/10/20,214,335578,4823,320348,10407
2/10/20,215,335997,4850,320974,10173
3/10/20,216,336387,4875,321485,10027
4/10/20,217,336766,4898,322055,9813
5/10/20,218,337243,4923,322612,9708
6/10/20,219,337711,4947,323208,9556
7/10/20,220,338132,4972,323769,9391
8/10/20,221,338539,4996,324282,9261
9/10/20,222,338944,5018,324737,9189
10/10/20,223,339267,5043,325330,8894
11/10/20,224,339615,5068,325839,8708
12/10/20,225,340089,5087,326339,8663
13/10/2020,226,340590,5108,326820,8662
14/10/2020,227,341062,5127,327327,8608
15/10/2020,228,341495,5144,327795,8556
16/10/2020,229,341854,5165,328165,8524
17/10/2020,230,342202,5185,328538,8479
18/10/2020,231,342583,5201,328895,8487
19/10/2020,232,342968,5217,329270,8481
20/10/2020,233,343373,5235,329715,8423
21/10/2020,234,343774,5250,330181,8343
22/10/2020,235,344157,5264,330578,8315
23/10/2020,236,344552,5281,330995,8276
24/10/2020,237,344875,5296,331330,8249
25/10/2020,238,345232,5313,331691,8228
26/10/2020,239,345631,5329,332117,8185
27/10/2020,240,346047,5348,332550,8149
28/10/2020,241,346482,5363,333005,8114
29/10/2020,242,346880,5383,333409,8088
30/10/2020,243,347282,5402,333842,8038
31/10/2020,244,347656,5420,334236,8000
1/11/20,245,348037,5437,334672,7928
2/11/20,246,348510,5456,335153,7901
3/11/20,247,348936,5471,335594,7871
4/11/20,248,349386,5489,336068,7829
5/11/20,249,349822,5506,336533,7783
6/11/20,250,350229,5525,336966,7738
7/11/20,251,350592,5540,337386,7666
8/11/20,252,350984,5559,337788,7637
9/11/20,253,351455,5576,338281,7598
10/11/20,254,351849,5590,338702,7557
11/11/20,255,352160,5605,339114,7441
12/11/20,256,352601,5625,339568,7408
13/11/2020,257,352950,5641,339947,7362
14/11/2020,258,353255,5657,340304,7294
15/11/2020,259,353556,5676,340668,7212
16/11/2020,260,353918,5692,341104,7122
17/11/2020,261,354208,5710,341515,6983
18/11/2020,262,354527,5729,341956,6842
19/11/2020,263,354813,5745,342404,6664
20/11/2020,264,355034,5761,342882,6391
21/11/2020,265,355258,5780,343371,6107
22/11/2020,266,355489,5796,343816,5877
23/11/2020,267,355741,5811,344311,5619
24/11/2020,268,356067,5825,344787,5455
25/11/2020,269,356389,5840,345215,5334
26/11/2020,270,356691,5857,345622,5212
27/11/2020,271,356911,5870,346023,5018
28/11/2020,272,357128,5884,346409,4835
29/11/2020,273,357360,5896,346802,4662
30/11/2020,274,357623,5907,347176,4540
1/12/20,275,357872,5919,347513,4440
2/12/20,276,358102,5930,347881,4291
3/12/20,277,358336,5940,348238,4158
4/12/20,278,358526,5954,348562,4010
5/12/20,279,358713,5965,348879,3869
6/12/20,280,358922,5977,349168,3777
7/12/20,281,359115,5989,349414,3712
8/12/20,282,359274,6002,349624,3648
9/12/20,283,359415,6012,349872,3531
10/12/20,284,359583,6023,350108,3452
11/12/20,285,359749,6036,350347,3366
12/12/20,286,359888,6048,350549,3291
13/12/2020,287,360013,6059,350792,3162
14/12/2020,288,360155,6069,350993,3093
15/12/2020,289,360335,6080,351192,3063
16/12/2020,290,360516,6091,351365,3060
17/12/2020,291,360690,6101,351573,3016
18/12/2020,292,360848,6112,351722,3014
19/12/2020,293,361010,6122,351878,3010
20/12/2020,294,361178,6131,352089,2958
21/12/2020,295,361359,6139,352249,2971
22/12/2020,296,361536,6148,352418,2970
23/12/2020,297,361725,6159,352608,2958
24/12/2020,298,361903,6168,352815,2920
25/12/2020,299,362066,6176,353004,2886
26/12/2020,300,362220,6185,353179,2856
27/12/2020,301,362339,6196,353353,2790
28/12/2020,302,362488,6204,353512,2772
29/12/2020,303,362601,6214,353682,2705
30/12/2020,304,362741,6223,353853,2665
31/12/2020,305,362878,6230,354081,2567
1/1/21,306,362979,6239,354263,2477
2/1/21,307,363061,6246,354443,2372
3/1/21,308,363155,6256,354609,2290
4/1/21,309,363259,6265,354755,2239
5/1/21,310,363377,6272,354899,2206
6/1/21,311,363485,6278,355037,2170
7/1/21,312,363582,6282,355208,2092
8/1/21,313,363692,6286,355382,2024
9/1/21,314,363809,6291,355548,1970
10/1/21,315,363949,6295,355706,1948
11/1/21,316,364096,6300,355857,1939
12/1/21,317,364271,6304,356013,1954
13/01/2021,318,364440,6310,356201,1929
14/01/2021,319,364613,6313,356382,1918
15/01/2021,320,364753,6318,356541,1894
16/01/2021,321,364929,6323,356687,1919
17/01/2021,322,365099,6329,356848,1922
18/01/2021,323,365325,6335,357004,1986
19/01/2021,324,365563,6338,357177,2048
20/01/2021,325,365775,6342,357337,2096
21/01/2021,326,365988,6346,357525,2117
22/01/2021,327,366185,6350,357728,2107
23/01/2021,328,366371,6352,357939,2080
24/01/2021,329,366584,6355,358137,2092
25/01/2021,330,366807,6359,358340,2108
26/01/2021,331,367023,6363,358545,2115
27/01/2021,332,367276,6366,358753,2157
28/01/2021,333,367543,6368,359006,2169
29/01/2021,334,367813,6372,359299,2142
30/01/2021,335,368074,6375,359573,2126
31/01/2021,336,368329,6379,359839,2111
1/2/21,337,368639,6383,360110,2146
2/2/21,338,368945,6386,360400,2159
3/2/21,339,369248,6389,360697,2162
4/2/21,340,369575,6393,360954,2228
5/2/21,341,369961,6397,361237,2327
6/2/21,342,370278,6402,361515,2361
7/2/21,343,370634,6406,361813,2415
8/2/21,344,370987,6410,362062,2515
9/2/21,345,371356,6415,362368,2573
10/2/21,346,371720,6420,362642,2658
11/2/21,347,372073,6424,362947,2702
12/2/21,348,372410,6429,363303,2678
13/02/2021,349,372732,6433,363585,2714
14/02/2021,350,373046,6438,363926,2682
15/02/2021,351,373368,6441,364297,2630
16/02/2021,352,373702,6445,364646,2611
17/02/2021,353,374029,6450,365017,2562
18/02/2021,354,374366,6454,365363,2549
19/02/2021,355,374691,6457,365745,2489
20/02/2021,356,375006,6461,366094,2451
21/02/2021,357,375333,6466,366412,2455
22/02/2021,358,375668,6470,366735,2463
23/02/2021,359,376021,6475,367015,2531
24/02/2021,360,376377,6480,367323,2574
25/02/2021,361,376723,6483,367691,2549
26/02/2021,362,377061,6488,368011,2562
27/02/2021,363,377383,6494,368305,2584
28/02/2021,364,377700,6500,368640,2560
1/3/21,365,378002,6505,368926,2571
2/3/21,366,378333,6510,369277,2546
3/3/21,367,378708,6514,369613,2581
4/3/21,368,379092,6519,369922,2651
5/3/21,369,379474,6524,370300,2650
6/3/21,370,379831,6528,370614,2689
7/3/21,371,380182,6534,371032,2616
8/3/21,372,380572,6539,371338,2695
9/3/21,373,380958,6545,371583,2830
10/3/21,374,381348,6551,371850,2947
11/3/21,375,381708,6556,372217,2935
12/3/21,376,382059,6563,372456,3040
13/03/2021,377,382407,6567,372703,3137
14/03/2021,378,382752,6573,372926,3253
15/03/2021,379,383106,6578,373130,3398
16/03/2021,380,383499,6585,373361,3553
17/03/2021,381,383880,6591,373601,3688
18/03/2021,382,384271,6596,373864,3811
19/03/2021,383,384653,6602,374135,3916
20/03/2021,384,385020,6609,374412,3999
21/03/2021,385,385424,6613,374799,4012
22/03/2021,386,385834,6618,375165,4051
23/03/2021,387,386300,6624,375471,4205
24/03/2021,388,386782,6630,375831,4321
25/03/2021,389,387292,6637,376203,4452
26/03/2021,390,387794,6643,376558,4593
27/03/2021,391,388325,6650,376947,4728
28/03/2021,392,388866,6656,377304,4906
29/03/2021,393,389422,6663,377714,5045
30/03/2021,394,390007,6669,378083,5255
31/03/2021,395,390597,6676,378469,5452
1/4/21,396,391325,6684,378873,5768
2/4/21,397,392009,6690,379312,6007
3/4/21,398,392682,6697,379816,6169
4/4/21,399,393377,6704,380305,6368
5/4/21,400,394169,6711,380772,6686
6/4/21,401,394952,6719,381189,7044
7/4/21,402,395854,6728,381658,7468
8/4/21,403,396758,6737,382198,7823
9/4/21,404,397636,6747,382773,8116
10/4/21,405,398435,6754,383321,8360
11/4/21,406,399277,6765,384027,8485
12/4/21,407,400228,6773,384635,8820
13/04/2021,408,401157,6781,385441,8935
14/04/2021,409,402142,6791,386102,9249
15/04/2021,410,403106,6801,387020,9285
16/04/2021,411,404054,6810,387795,9449
17/04/2021,412,404970,6823,388702,9445
18/04/2021,413,405940,6834,389598,9508
19/04/2021,414,407010,6846,390538,9626
20/04/2021,415,408038,6858,391362,9818
21/04/2021,416,409093,6869,392448,9776
22/04/2021,417,410191,6878,393671,9642
23/04/2021,418,411263,6887,394529,9847
24/04/2021,419,412216,6900,395557,9759
25/04/2021,420,413174,6913,396604,9657
26/04/2021,421,414219,6922,397587,9710
27/04/2021,422,415281,6935,398454,9892
28/04/2021,423,416307,6946,399509,9852
29/04/2021,424,417363,6957,400580,9826
30/04/2021,425,418411,6968,401544,9899
1/5/21,426,419348,6979,402664,9705
2/5/21,427,420301,6992,403702,9607
3/5/21,428,421300,7006,404707,9587
4/5/21,429,422316,7018,405607,9691
5/5/21,430,423406,7032,406589,9785
6/5/21,431,424445,7045,407650,9750
7/5/21,432,425442,7059,408676,9707
8/5/21,433,426384,7072,409740,9572
9/5/21,434,427370,7085,410816,9469
10/5/21,435,428369,7098,412102,9169
11/5/21,436,429389,7111,413010,9268
12/5/21,437,430505,7122,414139,9244
13/05/2021,438,431432,7134,415747,8551
14/05/2021,439,432269,7147,416759,8363
15/05/2021,440,433094,7162,417787,8145
16/05/2021,441,433980,7174,418914,7892
17/05/2021,442,435026,7188,419761,8077
18/05/2021,443,436239,7201,420671,8367
19/05/2021,444,437569,7214,421726,8629
20/05/2021,445,438705,7224,422706,8775
21/05/2021,446,439847,7237,423795,8815
22/05/2021,447,440914,7249,424690,8975
23/05/2021,448,442071,7264,425677,9130
24/05/2021,449,443460,7278,426589,9593
25/05/2021,450,444780,7295,427462,10023
26/05/2021,451,445963,7309,428502,10152
27/05/2021,452,447178,7320,429663,10195
28/05/2021,453,448284,7334,430937,10013
29/05/2021,454,449191,7347,432138,9706
30/05/2021,455,450436,7362,433413,9661
31/05/2021,456,451687,7377,434439,9871
1/6/21,457,452956,7393,435520,10043
2/6/21,458,454217,7408,436884,9925
3/6/21,459,455418,7424,438206,9788
4/6/21,460,456562,7440,439459,9663
5/6/21,461,457546,7456,440644,9446
6/6/21,462,458707,7471,441860,9376
7/6/21,463,459968,7488,442782,9698
8/6/21,464,461242,7503,443810,9929
9/6/21,465,462528,7519,444792,10217
10/6/21,466,463703,7537,446054,10112
11/6/21,467,464780,7553,446960,10267
12/6/21,468,465797,7572,448093,10132
13/06/2021,469,466906,7590,449241,10075
14/06/2021,470,468175,7606,450255,10314
15/06/2021,471,469414,7621,451187,10606
16/06/2021,472,470723,7635,452209,10879
17/06/2021,473,471959,7650,453259,11050
18/06/2021,474,473112,7663,454404,11045
19/06/2021,475,474191,7677,455618,10896
20/06/2021,476,475403,7691,457128,10584
21/06/2021,477,476882,7703,458048,11131
22/06/2021,478,478135,7716,459091,11328
23/06/2021,479,479390,7730,460338,11322
24/06/2021,480,480702,7743,461628,11331
25/06/2021,481,482003,7760,463004,11239
26/06/2021,482,483221,7775,464256,11190
27/06/2021,483,484539,7789,465546,11204
28/06/2021,484,486106,7804,466578,11724
29/06/2021,485,487592,7819,467633,12140
30/06/2021,486,489126,7832,469120,12174
1/7/21,487,490464,7848,470328,12288
2/7/21,488,491612,7863,471550,12199
3/7/21,489,492785,7876,472939,11970
